League,MatchDate,HomeTeam,AwayTeam,FullTimeHomeGoals,FullTimeAwayGoals,FullTimeResult,HomeShots,AwayShots,HomeCorners,AwayCorners,Bet365HomeOdds,Bet365DrawOdds,Bet365AwayOdds,AvgHomeOdds,AvgDrawOdds,AvgAwayOdds
I1,2020-09-19,Fiorentina,Torino,1,0,H,17,6,4,1,1.83,3.75,4.2,1.87,3.69,4.13
I1,2020-09-19,Verona,Roma,0,0,D,9,15,0,6,3.75,3.5,1.95,3.82,3.65,1.96
I1,2020-09-20,Parma,Napoli,0,2,A,4,12,4,2,5.25,4.2,1.61,5.13,4.16,1.63
I1,2020-09-20,Genoa,Crotone,4,1,H,10,11,6,4,1.9,3.6,4.0,1.91,3.59,4.03
I1,2020-09-20,Sassuolo,Cagliari,1,1,D,21,8,7,3,1.95,3.75,3.75,1.95,3.8,3.67
I1,2020-09-20,Juventus,Sampdoria,3,0,H,14,10,6,4,1.28,5.5,10.5,1.28,5.86,10.22
I1,2020-09-21,Milan,Bologna,2,0,H,14,6,7,4,1.57,4.33,5.5,1.58,4.31,5.48
I1,2020-09-26,Torino,Atalanta,2,4,A,5,12,2,6,4.75,4.4,1.61,4.84,4.25,1.65
I1,2020-09-26,Cagliari,Lazio,0,2,A,9,9,3,6,5.0,4.0,1.66,4.87,4.01,1.68
I1,2020-09-26,Sampdoria,Benevento,2,3,A,5,11,6,4,2.0,3.6,3.6,2.02,3.52,3.69
I1,2020-09-26,Inter,Fiorentina,4,3,H,12,8,5,1,1.5,4.5,6.0,1.55,4.27,5.92
I1,2020-09-27,Spezia,Sassuolo,1,4,A,11,10,3,5,4.75,4.0,1.66,4.82,3.94,1.7
I1,2020-09-27,Napoli,Genoa,6,0,H,18,3,4,2,1.3,5.5,10.0,1.3,5.57,9.83
I1,2020-09-27,Verona,Udinese,1,0,H,8,14,1,9,2.7,3.0,2.8,2.74,3.08,2.76
I1,2020-09-27,Crotone,Milan,0,2,A,5,11,2,5,6.0,4.5,1.5,5.94,4.39,1.53
I1,2020-09-27,Roma,Juventus,2,2,D,7,6,5,7,3.6,3.6,2.0,3.61,3.57,2.03
I1,2020-09-28,Bologna,Parma,4,1,H,11,8,8,9,1.95,3.6,3.6,1.96,3.66,3.73
I1,2020-09-30,Benevento,Inter,2,5,A,11,18,5,1,9.0,4.75,1.36,8.28,5.19,1.36
I1,2020-09-30,Udinese,Spezia,0,2,A,10,4,2,2,1.6,3.75,5.75,1.63,3.84,5.68
I1,2020-09-30,Lazio,Atalanta,1,4,A,11,8,7,3,2.55,3.5,2.55,2.57,3.71,2.55
I1,2020-10-02,Fiorentina,Sampdoria,1,2,A,16,14,8,4,1.61,4.0,5.25,1.67,4.06,5.01
I1,2020-10-03,Sassuolo,Crotone,4,1,H,7,10,3,4,1.4,5.0,7.0,1.42,4.87,7.13
I1,2020-10-03,Udinese,Roma,0,1,A,9,8,4,1,5.0,4.0,1.66,5.1,3.98,1.66
I1,2020-10-04,Atalanta,Cagliari,5,2,H,19,7,3,9,1.25,6.5,10.0,1.26,6.24,10.06
I1,2020-10-04,Benevento,Bologna,1,0,H,6,13,4,10,3.1,3.6,2.2,3.12,3.63,2.2
I1,2020-10-04,Lazio,Inter,1,1,D,11,10,7,8,3.1,3.7,2.2,3.1,3.75,2.17
I1,2020-10-04,Parma,Verona,1,0,H,7,8,7,6,2.87,3.1,2.62,2.89,3.13,2.6
I1,2020-10-04,Milan,Spezia,3,0,H,10,3,4,6,1.28,5.5,11.0,1.28,5.75,10.96
I1,2020-10-17,Napoli,Atalanta,4,1,H,18,11,6,2,2.5,3.8,2.55,2.49,3.78,2.62
I1,2020-10-17,Inter,Milan,1,2,A,12,8,3,5,2.3,3.5,3.0,2.31,3.53,3.01
I1,2020-10-17,Sampdoria,Lazio,3,0,H,11,8,3,3,3.3,3.5,2.15,3.3,3.55,2.16
I1,2020-10-17,Crotone,Juventus,1,1,D,9,8,3,4,6.5,4.5,1.45,7.96,4.48,1.42
I1,2020-10-18,Bologna,Sassuolo,3,4,A,11,20,7,11,2.9,3.6,2.3,2.84,3.65,2.37
I1,2020-10-18,Spezia,Fiorentina,2,2,D,6,7,5,5,5.25,4.0,1.61,5.42,4.06,1.62
I1,2020-10-18,Torino,Cagliari,2,3,A,10,9,2,4,2.1,3.5,3.4,2.19,3.44,3.33
I1,2020-10-18,Udinese,Parma,3,2,H,9,7,11,2,0.0,0.0,0.0,1.84,3.49,4.42
I1,2020-10-18,Roma,Benevento,5,2,H,16,8,6,4,1.33,5.5,8.5,1.33,5.4,8.86
I1,2020-10-19,Verona,Genoa,0,0,D,18,5,14,2,0.0,0.0,0.0,2.05,3.4,3.75
I1,2020-10-23,Sassuolo,Torino,3,3,D,13,14,6,8,1.66,4.33,4.5,1.71,4.28,4.42
I1,2020-10-24,Atalanta,Sampdoria,1,3,A,10,5,3,1,1.4,5.5,6.5,1.41,5.26,6.76
I1,2020-10-24,Genoa,Inter,0,2,A,1,10,1,9,7.5,4.5,1.4,7.6,4.93,1.39
I1,2020-10-24,Lazio,Bologna,2,1,H,6,16,8,9,1.65,4.0,4.75,1.7,4.15,4.58
I1,2020-10-25,Cagliari,Crotone,4,2,H,15,11,5,1,2.0,3.6,3.6,2.05,3.55,3.59
I1,2020-10-25,Benevento,Napoli,1,2,A,6,14,3,15,8.0,6.0,1.3,8.11,5.51,1.34
I1,2020-10-25,Parma,Spezia,2,2,D,15,13,12,3,2.05,3.5,3.5,2.09,3.44,3.52
I1,2020-10-25,Fiorentina,Udinese,3,2,H,4,11,2,7,1.72,3.6,4.75,1.77,3.74,4.63
I1,2020-10-25,Juventus,Verona,1,1,D,16,5,6,3,1.33,5.0,8.5,1.36,4.97,8.86
I1,2020-10-26,Milan,Roma,3,3,D,13,11,7,7,2.05,3.6,3.3,2.12,3.63,3.29
I1,2020-10-31,Crotone,Atalanta,1,2,A,4,16,1,3,6.5,4.75,1.44,6.49,4.93,1.45
I1,2020-10-31,Inter,Parma,2,2,D,18,4,15,2,1.33,5.5,8.0,1.35,5.32,8.59
I1,2020-10-31,Bologna,Cagliari,3,2,H,16,6,7,3,1.85,4.2,3.6,1.89,4.05,3.66
I1,2020-11-01,Udinese,Milan,1,2,A,7,8,2,4,4.5,3.9,1.72,4.56,3.92,1.74
I1,2020-11-01,Spezia,Juventus,1,4,A,11,8,4,3,9.0,5.25,1.33,8.55,5.11,1.36
I1,2020-11-01,Torino,Lazio,3,4,A,8,9,7,1,3.6,3.8,1.9,2.52,3.6,2.66
I1,2020-11-01,Napoli,Sassuolo,0,2,A,18,8,12,3,1.53,4.6,5.5,1.54,4.66,5.47
I1,2020-11-01,Roma,Fiorentina,2,0,H,11,3,7,4,1.75,3.8,4.2,1.83,3.95,4.04
I1,2020-11-01,Sampdoria,Genoa,1,1,D,9,7,7,4,1.9,3.6,4.0,1.93,3.65,3.92
I1,2020-11-02,Verona,Benevento,3,1,H,10,10,4,5,2.05,3.5,3.6,2.04,3.48,3.69
I1,2020-11-04,Genoa,Torino,1,2,A,9,6,5,2,2.35,3.5,2.8,2.4,3.51,2.89
I1,2020-11-06,Sassuolo,Udinese,0,0,D,3,0,3,6,2.15,3.8,3.1,2.18,3.71,3.17
I1,2020-11-07,Cagliari,Sampdoria,2,0,H,13,5,2,6,2.75,3.5,2.4,2.78,3.56,2.46
I1,2020-11-07,Benevento,Spezia,0,3,A,4,13,2,4,1.9,3.6,3.75,1.98,3.72,3.64
I1,2020-11-07,Parma,Fiorentina,0,0,D,5,6,2,3,3.4,3.6,2.0,3.37,3.61,2.11
